file,vertices,edges,time,solsize,recsteps,finished,verified
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a001.dimacs,10,8,0.02,41,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a003.dimacs,10,7,0.00,142,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a005.dimacs,10,14,0.01,229,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a007.dimacs,10,3,0.00,0,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a009.dimacs,10,3,0.00,28,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a011.dimacs,20,8,0.00,24,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a013.dimacs,20,20,0.00,204,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a015.dimacs,20,15,0.01,259,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a017.dimacs,20,23,0.15,328,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a019.dimacs,20,10,0.01,252,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a021.dimacs,50,68,0.81,1366,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a023.dimacs,50,97,1.52,2523,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a025.dimacs,50,170,8.58,4824,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a027.dimacs,75,200,14.86,4539,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a029.dimacs,75,262,63.95,7292,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a031.dimacs,100,390,122.23,10344,,1,correct
/afs/tu-berlin.de/home/j/j.koeppeler/wce-students-action/actionseq/a033.dimacs,100,371,209.98,9937,,1,correct
